Iteration	Posterior	Likelihood	Prior	age_uapaca	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	turnover
260	-14373.56	-14286.91	-86.64197	92.04853	0.206755	0.0007482228	0.0925472	0.5523823	0.1142078	0.157863	0.317044	0.0744366	0.0862575	0.271422	0.0929766	92.04853	0.276096	0.173046	0.26676	0.284099	0.4476177
270	-14362.38	-14282.11	-80.26804	79.51011	0.2716454	0.0009359972	0.1124244	0.5861355	0.159221	0.128021	0.24036	0.0931703	0.0729738	0.402956	0.062519	79.51011	0.268244	0.175912	0.275552	0.280293	0.4138645
280	-14370.75	-14295.48	-75.26679	104.3227	0.3754475	0.001070996	0.08666215	0.7691764	0.2887853	0.113165	0.275709	0.079514	0.111746	0.343893	0.0759731	104.3227	0.266074	0.172853	0.263146	0.297928	0.2308236
290	-14367.32	-14288.17	-79.1484	90.42304	0.6422312	0.001060643	0.1775627	0.7235222	0.4646685	0.153462	0.352638	0.0579808	0.124771	0.266497	0.0446507	90.42304	0.267555	0.176368	0.26715	0.288927	0.2764778
300	-14354.85	-14273.51	-81.33695	91.51744	0.5400644	0.0009012804	0.3355769	0.3786355	0.2044875	0.11171	0.192025	0.080171	0.0901555	0.429533	0.0964052	91.51744	0.265741	0.166455	0.273287	0.294517	0.6213645
310	-14372.85	-14292.13	-80.71953	92.38073	0.4212509	0.00077066	0.377783	0.1031878	0.04346794	0.214858	0.222986	0.0809788	0.0909668	0.287196	0.103014	92.38073	0.260262	0.185617	0.268728	0.285394	0.8968122
320	-14365.6	-14279.14	-86.45781	91.85617	0.3121165	0.0006666028	0.0635999	0.7962302	0.2485166	0.186043	0.265938	0.0755326	0.0793745	0.297834	0.0952769	91.85617	0.257968	0.179141	0.275538	0.287352	0.2037698
330	-14381.52	-14290.62	-90.89415	90.23212	0.1750977	0.0006583295	0.1029831	0.4118535	0.07211461	0.190033	0.269807	0.0649511	0.108078	0.293518	0.0736128	90.23212	0.263747	0.183914	0.259955	0.292385	0.5881465
340	-14390.79	-14299.2	-91.58678	108.033	0.155381	0.0005169624	0.03864302	0.7513015	0.1167379	0.139607	0.26626	0.0862992	0.0996495	0.298729	0.109455	108.033	0.267105	0.174948	0.276688	0.281259	0.2486985
350	-14373.5	-14285.67	-87.83146	79.09457	0.1874565	0.0006890977	0.04271645	0.772126	0.14474	0.156036	0.253399	0.112609	0.102005	0.279644	0.0963062	79.09457	0.257187	0.183962	0.275502	0.28335	0.227874
360	-14384.01	-14292.19	-91.8205	135.8294	0.2523651	0.0004940764	0.07697214	0.694997	0.175393	0.167859	0.202163	0.0900114	0.0410695	0.39315	0.105747	135.8294	0.272663	0.183372	0.266783	0.277182	0.305003
