Iteration	Posterior	Likelihood	Prior	age_uapaca	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	root_time	sf[1]	sf[2]	sf[3]	sf[4]	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
100	-14045.46	-14212.55	167.0947	69.52129	0.166207	0.0006083678	0.0001698612	0.0002344672	0.0003232197	0.0004415203	0.001353885	0.0002599083	0.0002429673	0.0002858947	0.0005195399	0.0009742884	0.0003079325	0.001005864	0.0007095499	0.0005730405	0.001391954	0.0006853155	0.0003147157	0.0004943093	0.001489944	8.486519e-05	0.0001496725	0.0001106673	0.0004436567	0.0008495523	4.945735e-05	0.0009824338	0.0003937671	0.002349759	0.0002813577	0.0006701554	8.237625e-05	0.0002699507	0.0006988549	0.0001735183	0.0006025531	0.000126882	0.0001356379	8.08748e-05	0.001815466	0.07602328	0.5425989	0.09018374	0.137395	0.233023	0.0936238	0.0481765	0.398296	0.0894864	0.0005684501	69.52129	0.266255	0.171038	0.278181	0.284526	0.4574011	0.0007960437	-7.693267	1.055851	1.114821
110	-14061.45	-14221.06	159.6054	83.84867	0.1291688	0.0001272975	0.0003840969	0.0001864747	0.0004309762	0.0005678846	0.001038608	0.0004108306	0.003722827	0.0008259062	0.001061497	0.0001579538	0.0005126601	0.001413073	0.0001677689	0.001807272	0.001898813	0.0009852457	0.0003366571	0.0005435435	0.001208405	4.865852e-05	0.0002626862	0.0001899856	0.000813939	0.0006042132	8.228992e-05	0.0001191477	0.0006315976	0.001003505	0.0003135017	0.0009346438	5.200332e-05	0.0003890423	0.001607268	1.633517e-05	0.001061963	0.0003731094	0.0003288681	0.0001535849	0.001044644	0.03621388	0.719639	0.09295488	0.146058	0.247716	0.098773	0.0699937	0.353174	0.0842852	0.0006954695	83.84867	0.268488	0.180525	0.262282	0.288706	0.280361	0.0006980283	-7.898962	1.124021	1.263423
120	-14039.15	-14211.45	172.2934	86.33832	0.1449109	0.000254199	0.0006306333	0.0002250762	0.0003459071	0.000521556	0.0009509432	0.000527749	0.0009040423	0.0005515521	0.001084919	0.0008485929	0.000468113	0.0004033481	0.0002765177	0.001200341	0.00128172	0.000520074	0.0003854614	0.0004745635	0.0004923065	0.0002449203	0.0002984476	0.0003440757	0.0003178561	0.0009589437	0.0001752185	0.001458873	0.001402522	0.001242831	0.0003093827	0.001684201	0.0003064281	0.0009730198	0.001069965	0.0001618956	0.0001456491	0.0004457342	0.00073014	0.0001815649	0.000337715	0.06840128	0.5279768	0.07650957	0.111159	0.274305	0.110002	0.0736535	0.349361	0.0815199	0.0006284249	86.33832	0.273364	0.178133	0.268209	0.280294	0.4720232	0.0006574291	-7.466866	0.5285687	0.2793849
130	-14046.63	-14212.83	166.1992	80.78172	0.1935678	0.001603065	0.0001300993	0.0001596364	0.0005583202	0.0001882861	0.001408562	0.0003533978	0.000365318	0.0006263862	0.001073367	0.0004133396	0.0002349522	0.0008417371	0.0003704047	0.001432	0.001548716	0.001545268	0.0005181327	0.0002158072	0.001044498	0.0004440187	0.0003308204	0.000403295	0.001138559	0.001550554	0.0001430195	0.001866198	0.0006367812	0.0007415516	0.001026393	0.0007303627	0.0006240203	0.0003789529	0.0002989318	8.23953e-05	0.0005971561	0.0003034646	0.0009024045	9.288981e-05	0.000529916	0.0367505	0.8101414	0.1568173	0.121869	0.283938	0.107311	0.0664015	0.346678	0.0738031	0.0006863245	80.78172	0.262528	0.17525	0.287381	0.274841	0.1898586	0.0009319148	-7.46397	0.9855973	0.9714021
140	-14046.25	-14213.54	167.2911	87.4377	0.1497084	0.00071342	0.0001206096	0.000177871	0.0002413046	9.358565e-05	0.001127654	0.0002935737	0.0003760374	0.0004205913	0.0007791612	0.0004484184	0.0004208002	0.0006278474	0.0002062031	0.001777118	0.001411574	0.0002602448	0.0004082861	0.001967319	0.000760009	0.0003420427	0.0006655998	0.0002965932	0.0008242314	0.002491037	0.0001143676	0.001126928	0.0009371089	0.001025423	0.001426382	0.0007512518	0.0005831696	7.664028e-05	0.0003632768	0.0003486845	0.0006646972	0.0005309714	0.0002411545	0.0004380057	0.0005784893	0.04486985	0.7002849	0.1048385	0.144191	0.252254	0.0721864	0.0575874	0.386856	0.0869258	0.0006614421	87.4377	0.26878	0.165076	0.275358	0.290786	0.2997151	0.0008055027	-7.449504	0.8067957	0.6509193
150	-14045.16	-14206.24	161.0767	119.3516	0.2077252	0.001549281	0.001540743	7.049753e-05	0.0004545648	0.001065702	0.002355681	0.0004358413	0.0002169085	0.0003030262	0.0006370402	0.0008498895	0.0004125112	0.0006055548	0.0005839171	0.002163355	0.002197803	0.0002294548	0.0004119066	0.0003104139	0.0003752504	0.0002859404	0.0002475107	0.0001839782	0.0002808688	0.001009205	0.0001973386	0.002522191	0.0008611021	0.001409208	0.000259775	0.0007351903	0.0003908125	0.002598817	0.0004011995	0.000277534	0.0004457962	0.0008675231	0.001064749	0.0002910887	0.0005774824	0.06105727	0.7060671	0.146668	0.132546	0.26747	0.0985366	0.0749905	0.348581	0.0778763	0.0007919163	119.3516	0.26777	0.178542	0.270558	0.28313	0.2939329	0.0006805955	-7.747714	0.9541192	0.9103434
160	-14041.27	-14207.61	166.3407	88.85496	0.1159864	0.0005955066	0.0002258025	6.131814e-05	0.0002998204	0.001143367	0.001817684	0.0002916097	0.0003033755	0.0008316602	0.0004222304	0.0002451992	0.001391974	0.0003293024	0.0005490324	0.001212672	0.002209258	0.00028451	0.0004792295	0.000138445	0.0002263211	0.001232479	0.0003735456	0.001197571	0.0005969644	0.0009035014	0.0001587765	0.001261066	0.001707082	0.0008286495	0.0003553745	0.001411006	0.0004178028	0.0007784478	0.0001391629	0.0003116199	0.0005382705	0.0006520731	0.0002719633	0.0003762611	0.0004216885	0.03948533	0.6595692	0.07650104	0.156317	0.254746	0.0950698	0.0661941	0.339022	0.0886513	0.0006747906	88.85496	0.270952	0.172282	0.269573	0.287193	0.3404308	0.0007366769	-7.434294	0.6647292	0.4418649
170	-14047.82	-14213.28	165.4565	112.1524	0.323474	0.0007666067	0.000667006	0.0001122627	0.0001694109	0.000286097	0.003432263	0.0009627063	0.0002657494	0.0002785403	0.0007426565	0.0008356019	0.000668378	0.0002989788	0.001098663	0.002668213	0.002034661	0.0005240701	0.0003330427	0.0006033669	0.0001801257	0.0005607742	0.0002200054	0.0002382973	0.0003523302	0.000663816	0.0003796655	0.001361968	0.001028426	0.0009175117	0.0007613994	0.002009061	0.0004569107	0.000715057	0.0002774166	0.0003534148	0.000281258	0.001303395	0.0007846812	0.0004065491	0.0007474553	0.1941533	0.399787	0.1293207	0.151834	0.245874	0.101693	0.0828923	0.331354	0.0863523	0.0007686948	112.1524	0.258196	0.180772	0.271245	0.289787	0.600213	0.0008763025	-7.299626	0.7208698	0.5196533
180	-14052.65	-14217.13	164.4717	91.53555	0.2049226	0.002811724	0.0003214718	0.000167768	0.0002864026	0.0002062533	0.001045165	0.0002392218	0.0003005733	0.0004143964	0.001908192	0.001203249	0.0002899112	0.0007008617	0.0005374565	0.002099244	0.002198587	0.0004637173	0.0004834827	0.0002608507	0.0003270713	0.0001155515	0.0002268101	0.0001568655	0.0002688463	0.001188735	0.002474536	0.0001504365	0.001526235	0.001174361	0.0002699035	0.0003194127	0.0006454	0.0009578345	0.001736286	0.0003010708	0.0004763234	0.001043163	0.0001300547	0.0001939312	0.0005614885	0.04222384	0.7939522	0.1626987	0.177386	0.261719	0.102589	0.0855347	0.292267	0.0805048	0.0007545711	91.53555	0.258318	0.173907	0.275293	0.292481	0.2060478	0.0006790694	-7.65623	0.850227	0.722886
190	-14044.87	-14211.21	166.3395	87.71021	0.145444	0.0008118072	0.0003341833	0.0001287596	0.0002037569	0.0007206616	0.00113018	0.000182341	0.0003076882	0.0003082886	0.0006121872	0.00152071	0.000591971	0.0006013428	0.000372598	0.001990757	0.002961852	0.0004037026	0.0003303463	0.000215641	0.0003383257	0.0001419014	0.0003025143	0.001021785	0.00153375	0.000194864	0.0006660298	0.0003181918	0.001363402	0.001124821	0.0001883327	0.000395815	0.001413784	0.0005393934	0.001655468	0.0001542191	0.0008940116	0.001352734	0.0001880731	0.0003860689	0.0003069593	0.02681712	0.8156189	0.1186269	0.160411	0.258996	0.101322	0.0736517	0.320047	0.0855727	0.0007052305	87.71021	0.26843	0.176573	0.278095	0.276901	0.1843811	0.0009452365	-7.372565	0.9038692	0.8169796
