Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-686715.3	-686603.1	-112.2109	30.43384	1	0.03523815	-0.07025135	0.0149321	0.463584	0.138672	0.236504	0.125993	0.0203151	0.1005739	0.136954	0.476752	1	2.38629	0.024327	0.0846214	0.546088	0.344963	0.03032258	3.3168
10	-333443.9	-333371.4	-72.52899	7.59286	0.2146291	0.0104337	-0.39862	0.0693201	0.372607	0.16516	0.0525281	0.276254	0.0641304	0.4342652	0.000850365	0.0426182	0.42075	3.53578	0.0467051	0.0932939	0.559092	0.300908	0.03564519	12.18299
20	-292658.7	-292595	-63.78498	2.538147	0.05454958	0.01698422	-1.051452	0.157316	0.198102	0.187832	0.053856	0.345473	0.0574214	1.166694	5.10864e-12	3.37133e-06	0.00855959	3.99144	0.0906948	0.1684	0.461385	0.27952	0.1152424	10.12383
30	-263278	-263211.5	-66.53905	2.538147	0.02061785	0.02027604	-1.670056	0.168424	0.233447	0.14061	0.0725189	0.298872	0.0861287	1.720386	3.52237e-30	2.80751e-15	1.46262e-06	4	0.218311	0.160681	0.323642	0.297367	0.05033067	34.18167
40	-258233.1	-258168.8	-64.21906	2.538147	0.03311033	0.02088478	-0.849323	0.128968	0.2348	0.117587	0.103096	0.300605	0.114944	0.8895276	3.65899e-19	9.03892e-10	0.000282193	3.99972	0.294473	0.178237	0.216286	0.311004	0.04020457	22.12504
50	-258198.1	-258134.2	-63.88921	2.538147	0.02117313	0.02064234	-1.243952	0.128555	0.259706	0.111925	0.104272	0.286132	0.10941	1.277723	2.05405e-29	6.77935e-15	2.10868e-06	4	0.295583	0.178364	0.213878	0.312176	0.03377097	37.83496
60	-258196.3	-258133	-63.36562	2.538147	0.01764376	0.02038767	-1.076791	0.128555	0.259706	0.111925	0.104272	0.286132	0.10941	1.096238	4.21558e-35	9.71503e-18	1.39286e-07	4	0.295726	0.17845	0.213495	0.312328	0.01944678	56.37117
70	-257927.2	-257864.4	-62.73005	1.925138	0.03823588	0.02038767	-1.132712	0.12814	0.258868	0.111564	0.103936	0.285209	0.112283	1.162888	1.00113e-16	1.49448e-08	0.000903721	3.9991	0.296763	0.179076	0.214244	0.309918	0.03017592	38.53696
80	-257892.4	-257829.2	-63.20543	1.925138	0.02318011	0.02038767	-1.333398	0.12814	0.258868	0.111564	0.103936	0.285209	0.112283	1.376458	5.94871e-27	1.1535e-13	6.8354e-06	3.99999	0.296763	0.179076	0.214244	0.309918	0.04306002	31.96603
90	-257895.1	-257831.2	-63.85431	1.925138	0.0301204	0.02076773	-1.252385	0.127223	0.257014	0.110766	0.110351	0.283167	0.111479	1.342926	5.7357e-21	1.13198e-10	0.000119175	3.99988	0.296763	0.179076	0.214244	0.309918	0.09054024	14.83236
100	-257890.6	-257826.8	-63.77835	1.925138	0.01445155	0.02019559	-0.8136947	0.128259	0.261711	0.11195	0.103124	0.282284	0.112672	0.8647857	1.22358e-42	1.65559e-21	3.80175e-09	4	0.296763	0.179076	0.214244	0.309918	0.05109102	16.92637
110	-257887.2	-257823.9	-63.2404	1.925138	0.01129505	0.02001247	-1.22116	0.12349	0.259026	0.11219	0.104269	0.282888	0.118138	1.266199	2.78905e-54	2.50026e-27	1.4595e-11	4	0.296763	0.179076	0.214244	0.309918	0.0450387	28.11357
120	-257880.9	-257817.1	-63.82852	1.925138	0.009241625	0.02001247	-0.8244226	0.124425	0.260988	0.11304	0.105059	0.277454	0.119034	0.8870996	3.99997e-66	2.99477e-33	5.08861e-14	4	0.29853	0.17913	0.212329	0.310011	0.06267696	14.15352
130	-257881.1	-257815.7	-65.3911	1.925138	0.005244376	0.02001247	-0.926246	0.124734	0.26096	0.112814	0.105047	0.277424	0.119021	1.143772	8.86856e-116	4.46081e-58	2.52734e-24	4	0.2987	0.178664	0.21245	0.310187	0.2175257	5.2581
140	-257887.9	-257823.6	-64.30863	1.925138	0.001990985	0.01975741	-1.297625	0.127638	0.256995	0.115934	0.105654	0.275559	0.11822	1.38534	2.27065e-303	7.13983e-152	2.97897e-63	4	0.298645	0.178814	0.212411	0.31013	0.08771467	15.79371
150	-257729.4	-257665.3	-64.14016	1.925138	0.00405654	0.01943434	-0.7580344	0.126869	0.256585	0.115749	0.107793	0.274972	0.118032	0.8012333	2.14726e-149	6.94186e-75	2.67173e-31	4	0.298645	0.178814	0.212411	0.31013	0.04319889	18.54754
160	-257716.4	-257651.8	-64.59376	1.925138	0.004460012	0.02002421	-1.515932	0.123542	0.268826	0.114081	0.106239	0.271009	0.116304	1.577121	5.73217e-136	3.58655e-68	1.63307e-28	4	0.299264	0.179185	0.210778	0.310773	0.06118892	25.77461
170	-257124.7	-257061.2	-63.53861	1.925138	0.006277331	0.0196426	-0.857868	0.123516	0.26877	0.114057	0.106426	0.270952	0.116279	0.9466676	6.89681e-97	1.24386e-48	2.10279e-20	4	0.299264	0.179185	0.210778	0.310773	0.0887996	10.66072
180	-257121.9	-257059.3	-62.57925	1.925138	0.004978543	0.0196426	-1.050739	0.123533	0.268806	0.114072	0.106305	0.270989	0.116295	1.093422	6.57637e-122	3.84141e-61	1.35088e-25	4	0.29788	0.179539	0.211194	0.311387	0.04268284	25.61737
190	-257113.6	-257049.2	-64.36995	1.925138	0.004244327	0.02010132	-1.276045	0.123008	0.271914	0.113587	0.105854	0.269837	0.115801	1.427262	7.91529e-143	1.33278e-71	6.15842e-30	4	0.29788	0.179539	0.211194	0.311387	0.1512168	9.438511
200	-257107.4	-257043.9	-63.51233	1.925138	0.005847312	0.02003611	-0.8038689	0.124104	0.271558	0.113439	0.105715	0.269484	0.115701	0.8618919	6.0998e-104	3.69932e-52	7.22974e-22	4	0.29923	0.180353	0.212151	0.308266	0.058023	14.85432
