Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-255716.5	-255604.6	-111.8395	34.31456	0.003082578	0.0009888189	0.04715678	0.125579	0.262613	0.121093	0.107881	0.271364	0.11147	0.1094155	2.74504e-196	2.48225e-98	4.96141e-41	4	0.300182	0.179588	0.212576	0.307654	0.1565723	0.6988179
230	-255651.6	-255537.4	-114.1399	43.89799	0.002898814	0.0008771511	0.05978468	0.121665	0.265508	0.116524	0.109834	0.269512	0.116958	0.1268509	1.14087e-208	1.60028e-104	1.3374e-43	4	0.300182	0.179588	0.212576	0.307654	0.1866356	0.6796715
240	-255648.4	-255530.1	-118.2551	39.5749	0.01347071	0.0008925687	0.09629253	0.124425	0.263555	0.125	0.103483	0.267466	0.11607	0.2462756	1.13315e-45	5.03868e-23	8.92412e-10	4	0.300182	0.179588	0.212576	0.307654	0.3425681	0.7189098
250	-255592.8	-255475.1	-117.722	50.71862	0.01287987	0.0007934374	0.007942392	0.118848	0.267161	0.11921	0.106153	0.269562	0.119065	0.2085041	1.00938e-47	4.7558e-24	3.35073e-10	4	0.300182	0.179588	0.212576	0.307654	0.2164465	0.9633055
260	-255582.7	-255467	-115.6779	46.42875	0.02444591	0.0008078346	0.08767086	0.120336	0.257995	0.120702	0.109027	0.27614	0.115799	0.06934199	1.31586e-25	5.42455e-13	1.29944e-05	3.99999	0.300182	0.179588	0.212576	0.307654	0.1570128	0.4416326
270	-255581.3	-255465	-116.2746	44.38034	0.02523355	0.0007957506	0.01919663	0.128284	0.257177	0.117924	0.108681	0.272503	0.115431	0.111159	7.725e-25	1.31425e-12	1.87598e-05	3.99998	0.300182	0.179588	0.212576	0.307654	0.1303556	0.8527364
280	-255575.4	-255459	-116.3892	44.59153	0.02943265	0.0007992485	-0.01521609	0.119478	0.262433	0.119657	0.110279	0.276508	0.111645	0.117707	1.95692e-21	6.61241e-11	9.53479e-05	3.9999	0.300182	0.179588	0.212576	0.307654	0.1024909	1.148463
290	-255541.6	-255421.9	-119.679	46.69296	0.01906236	0.0007188711	0.1583689	0.121869	0.263776	0.119257	0.104231	0.277924	0.112944	0.002296748	1.45937e-32	1.80736e-16	4.68571e-07	4	0.300182	0.179588	0.212576	0.307654	0.1606656	0.0142952
300	-255535.9	-255417.7	-118.2738	51.35513	0.01765656	0.0007042775	0.1265402	0.1238	0.269285	0.121883	0.0994444	0.274727	0.110861	0.003198621	4.46274e-35	9.99576e-18	1.40942e-07	4	0.300182	0.179588	0.212576	0.307654	0.1297389	0.0246543
310	-255530	-255412.3	-117.6916	50.02397	0.04825322	0.0007123001	0.1113683	0.124138	0.261954	0.115672	0.105966	0.275477	0.116793	0.002797285	1.8561e-13	6.42952e-07	0.00430368	3.9957	0.300182	0.179588	0.212576	0.307654	0.1141656	0.02450199
320	-255526.1	-255408.4	-117.6748	50.02397	0.04123999	0.0007087089	-0.04861581	0.125079	0.265078	0.11341	0.112461	0.269463	0.114508	0.09041212	1.4037e-15	5.59465e-08	0.00156271	3.99844	0.299478	0.179167	0.212077	0.309279	0.04179632	2.16316
330	-255500.9	-255380.9	-119.9751	50.02397	0.04327848	0.0006591895	-0.04397303	0.12581	0.266792	0.114143	0.106801	0.271205	0.115249	0.165815	6.83533e-15	1.23435e-07	0.00217001	3.99783	0.299478	0.179167	0.212077	0.309279	0.121842	1.360902
340	-255504.9	-255384.9	-120.0187	50.92821	0.02460147	0.0006378066	-0.003170903	0.124604	0.264237	0.119112	0.105778	0.267906	0.118363	0.1339855	1.88333e-25	6.48959e-13	1.39979e-05	3.99999	0.299478	0.179167	0.212077	0.309279	0.1308146	1.02424
350	-255491.3	-255370.6	-120.7516	50.92821	0.0424474	0.0006395635	-0.1046728	0.124604	0.264237	0.119112	0.105778	0.267906	0.118363	0.1253981	3.65131e-15	9.02225e-08	0.00190539	3.99809	0.299478	0.179167	0.212077	0.309279	0.02072523	6.050503
360	-255485.6	-255365.9	-119.6407	52.90603	0.01614795	0.0006373097	-0.02720754	0.125475	0.259095	0.119944	0.106517	0.269778	0.119191	0.08694078	2.91141e-38	2.55343e-19	3.07667e-08	4	0.299478	0.179167	0.212077	0.309279	0.05973325	1.455484
