Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
22	0	-257887.2	-257823.9	-63.2404	1.925138	0.01129505	0.02001247	-1.22116	0.12349	0.259026	0.11219	0.104269	0.282888	0.118138	1.266199	2.78905e-54	2.50026e-27	1.4595e-11	4	0.296763	0.179076	0.214244	0.309918	0.0450387	28.11357
23	1	-256876.3	-256789.6	-86.74737	9.793394	0.01519304	0.003286686	0.4080489	0.11575	0.268496	0.116761	0.104507	0.279388	0.115099	0.0540158	1.32073e-40	1.71995e-20	1.00429e-08	4	0.300937	0.17973	0.211815	0.307517	0.4620647	0.1169009
24	0	-257880.9	-257817.1	-63.82852	1.925138	0.009241625	0.02001247	-0.8244226	0.124425	0.260988	0.11304	0.105059	0.277454	0.119034	0.8870996	3.99997e-66	2.99477e-33	5.08861e-14	4	0.29853	0.17913	0.212329	0.310011	0.06267696	14.15352
25	1	-256811.7	-256723.4	-88.31401	10.3207	0.04566519	0.002989969	0.3808592	0.122375	0.265323	0.117491	0.0990988	0.281136	0.114576	0.06927447	3.6447e-14	2.84973e-07	0.00307057	3.99693	0.300937	0.17973	0.211815	0.307517	0.4501337	0.1538975
26	0	-257881.1	-257815.7	-65.3911	1.925138	0.005244376	0.02001247	-0.926246	0.124734	0.26096	0.112814	0.105047	0.277424	0.119021	1.143772	8.86856e-116	4.46081e-58	2.52734e-24	4	0.2987	0.178664	0.21245	0.310187	0.2175257	5.2581
27	1	-256586.5	-256493.6	-92.89361	13.00298	0.03635977	0.002536829	0.325287	0.121821	0.264121	0.116959	0.103179	0.279863	0.114057	0.123739	1.54227e-17	5.86672e-09	0.00061313	3.99939	0.300937	0.17973	0.211815	0.307517	0.449026	0.275572
28	0	-257887.9	-257823.6	-64.30863	1.925138	0.001990985	0.01975741	-1.297625	0.127638	0.256995	0.115934	0.105654	0.275559	0.11822	1.38534	2.27065e-303	7.13983e-152	2.97897e-63	4	0.298645	0.178814	0.212411	0.31013	0.08771467	15.79371
29	1	-256095.4	-255992.5	-102.8549	23.35857	0.04294843	0.001608207	0.1098444	0.121772	0.264015	0.117991	0.102459	0.279751	0.114011	0.06883061	5.34413e-15	1.09147e-07	0.00206203	3.99794	0.300937	0.17973	0.211815	0.307517	0.178675	0.385228
30	0	-257729.4	-257665.3	-64.14016	1.925138	0.00405654	0.01943434	-0.7580344	0.126869	0.256585	0.115749	0.107793	0.274972	0.118032	0.8012333	2.14726e-149	6.94186e-75	2.67173e-31	4	0.298645	0.178814	0.212411	0.31013	0.04319889	18.54754
31	1	-256070.4	-255967.5	-102.9089	23.35857	0.02130883	0.001489052	0.116277	0.121455	0.265932	0.117684	0.102192	0.279022	0.113714	0.06115576	3.11659e-29	8.35059e-15	2.29921e-06	4	0.300937	0.17973	0.211815	0.307517	0.1774327	0.3446701
