Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
63	-23.20946	-21.11807	-2.091396	0.4596012	0.4596012	0.4596012	-2.258995	0.005508136
64	-22.96939	-21.18336	-1.786035	0.6242924	0.6242924	0.6242924	-1.822482	0.01504936
65	-22.8699	-21.08386	-1.786035	0.6242924	0.6242924	0.6242924	-3.218758	0.0006042857
66	-23.11896	-21.20027	-1.918698	0.5220947	0.5220947	0.5220947	-1.759226	0.01740899
67	-23.23114	-21.31245	-1.918698	0.5220947	0.5220947	0.5220947	-1.471975	0.03373064
68	-23.33714	-21.22185	-2.115285	0.4529498	0.4529498	0.4529498	-1.689228	0.0204537
69	-23.96479	-21.32405	-2.640734	0.3549598	0.3549598	0.3549598	-1.455561	0.03502992
70	-23.06329	-21.1699	-1.89339	0.534813	0.534813	0.534813	-1.885346	0.0130213
71	-22.97532	-21.08178	-1.89354	0.5347332	0.5347332	0.5347332	-3.520664	0.0003015338
72	-22.98267	-21.08913	-1.89354	0.5347332	0.5347332	0.5347332	-2.866426	0.001360111
73	-23.09591	-21.27511	-1.820797	0.5838179	0.5838179	0.5838179	-1.546715	0.0283978
74	-23.10534	-21.30397	-1.801368	0.78273	0.78273	0.78273	-1.480687	0.03306074
75	-22.9002	-21.12285	-1.77735	0.737122	0.737122	0.737122	-2.201346	0.006290056
76	-23.47163	-21.13793	-2.333702	1.170052	1.170052	1.170052	-2.060187	0.00870588
77	-23.57663	-21.34775	-2.228886	1.11102	1.11102	1.11102	-1.392366	0.04051666
78	-23.41691	-21.29791	-2.119	1.045186	1.045186	1.045186	-1.48515	0.03272274
79	-23.46242	-21.13667	-2.325754	1.165675	1.165675	1.165675	-2.069859	0.008514148
80	-23.40696	-21.0812	-2.325754	1.165675	1.165675	1.165675	-3.645464	0.0002262224
81	-22.90828	-21.08292	-1.825358	0.8146557	0.8146557	0.8146557	-3.324809	0.0004733598
82	-23.7057	-21.09677	-2.608929	1.314696	1.314696	1.314696	-2.590609	0.002566794
83	-23.47384	-21.08227	-2.391571	1.201509	1.201509	1.201509	-3.413302	0.0003860982
84	-23.14493	-21.08065	-2.064272	1.010228	1.010228	1.010228	-3.84405	0.0001432025
85	-23.14467	-21.14472	-1.999946	0.966453	0.966453	0.966453	-2.017185	0.009612016
86	-22.96392	-21.08627	-1.877646	0.5435562	0.5435562	0.5435562	-3.022898	0.0009486409
87	-22.95856	-21.08091	-1.877646	0.5435562	0.5435562	0.5435562	-3.751989	0.0001770156
88	-22.95892	-21.08127	-1.877646	0.5435562	0.5435562	0.5435562	-3.640315	0.0002289208
89	-23.23303	-21.0808	-2.152227	1.065627	1.065627	1.065627	-3.782277	0.0001650909
90	-23.88888	-21.08531	-2.803576	1.41161	1.41161	1.41161	-3.071179	0.0008488306
91	-24.11134	-21.10816	-3.00318	1.508343	1.508343	1.508343	-2.36363	0.004328825
92	-23.53316	-21.35495	-2.178205	1.081264	1.081264	1.081264	-1.381536	0.04153976
93	-23.44719	-21.15248	-2.29471	1.148435	1.148435	1.148435	-1.963459	0.01087779
94	-23.24027	-21.09064	-2.149631	1.064049	1.064049	1.064049	-2.789757	0.001622717
95	-23.1831	-21.09639	-2.086709	1.024775	1.024775	1.024775	-2.607275	0.00247016
96	-22.87568	-21.08508	-1.790608	0.617318	0.617318	0.617318	-3.108166	0.000779532
97	-23.19139	-21.40209	-1.789307	0.6192184	0.6192184	0.6192184	-1.326097	0.04719577
98	-23.27295	-21.48364	-1.789307	0.6192184	0.6192184	0.6192184	-1.226697	0.05933385
99	-23.41141	-21.47447	-1.936942	0.9194539	0.9194539	0.9194539	-1.226697	0.05933385
100	-23.00184	-21.23425	-1.767596	0.6840484	0.6840484	0.6840484	-1.646559	0.02256529
101	-22.93251	-21.10608	-1.826438	0.5789198	0.5789198	0.5789198	-2.41904	0.003810309
102	-23.4196	-21.09335	-2.326252	1.16595	1.16595	1.16595	-2.691284	0.00203571
103	-24.22917	-21.39956	-2.829612	1.424354	1.424354	1.424354	-1.303987	0.04966071
104	-25.4845	-21.12144	-4.363053	2.147252	2.147252	2.147252	-2.180692	0.00659642
105	-25.50005	-21.137	-4.363053	2.147252	2.147252	2.147252	-2.042351	0.009070861
106	-27.64756	-21.08476	-6.562794	3.233049	3.233049	3.233049	-3.06963	0.000851864
107	-26.69648	-21.08243	-5.614047	2.750581	2.750581	2.750581	-3.348927	0.000447789
108	-28.52138	-21.13219	-7.389194	3.67499	3.67499	3.67499	-2.03983	0.00912367
109	-30.75933	-21.3302	-9.429127	4.865842	4.865842	4.865842	-1.305647	0.04947129
110	-28.50249	-21.2106	-7.291885	3.621821	3.621821	3.621821	-1.638203	0.02300368
111	-24.53236	-21.11564	-3.416723	1.704151	1.704151	1.704151	-2.257183	0.005531164
112	-24.3334	-21.08489	-3.248508	1.625005	1.625005	1.625005	-3.099344	0.0007955287
113	-25.65495	-21.08346	-4.571497	2.245772	2.245772	2.245772	-3.224253	0.0005966881
114	-24.08032	-21.08993	-2.990391	1.502204	1.502204	1.502204	-2.808276	0.001554977
115	-23.17724	-21.08085	-2.096394	1.030959	1.030959	1.030959	-3.76378	0.0001722741
116	-23.83597	-21.08066	-2.755305	1.387861	1.387861	1.387861	-3.831493	0.0001474034
117	-23.83863	-21.08333	-2.755305	1.387861	1.387861	1.387861	-3.260496	0.0005489132
118	-23.48876	-21.12929	-2.359467	1.184144	1.184144	1.184144	-2.129843	0.007415787
119	-23.43997	-21.0805	-2.359467	1.184144	1.184144	1.184144	-3.914512	0.0001217554
120	-24.16554	-21.08915	-3.076394	1.543362	1.543362	1.543362	-2.841836	0.001439341
121	-23.98847	-21.08069	-2.907775	1.462369	1.462369	1.462369	-3.815271	0.0001530132
122	-22.86678	-21.08264	-1.784135	0.7528123	0.7528123	0.7528123	-3.365891	0.0004306351
123	-22.97371	-21.08294	-1.890769	0.8809202	0.8809202	0.8809202	-3.320932	0.0004776036
124	-22.94685	-21.08717	-1.859683	0.8518289	0.8518289	0.8518289	-2.960371	0.001095542
125	-23.27915	-21.08044	-2.198709	1.093414	1.093414	1.093414	-3.95111	0.0001119155
126	-25.06209	-21.09564	-3.966444	1.961178	1.961178	1.961178	-2.604399	0.002486574
127	-24.55666	-21.22944	-3.327216	1.662099	1.662099	1.662099	-1.633738	0.02324141
128	-24.77447	-21.44725	-3.327216	1.662099	1.662099	1.662099	-1.233688	0.05838645
129	-24.04997	-22.08854	-1.96143	0.9383346	0.9383346	0.9383346	-0.7998873	0.1585305
130	-23.67566	-21.78251	-1.893152	0.8830266	0.8830266	0.8830266	-0.9690707	0.1073815
131	-25.00342	-23.20225	-1.801166	0.6037201	0.6037201	0.6037201	-0.4684846	0.3400285
132	-25.34338	-23.23894	-2.104438	0.4559287	0.4559287	0.4559287	-0.4755025	0.3345781
133	-23.36915	-21.59821	-1.770933	0.6596005	0.6596005	0.6596005	-1.114636	0.07680051
134	-24.03558	-21.65039	-2.385186	1.198072	1.198072	1.198072	-1.050744	0.08897247
135	-22.86394	-21.08205	-1.781883	0.7480033	0.7480033	0.7480033	-3.462158	0.0003450184
136	-22.9138	-21.13191	-1.781883	0.7480033	0.7480033	0.7480033	-2.118082	0.007619351
137	-23.12232	-21.08059	-2.041731	0.9952678	0.9952678	0.9952678	-3.873606	0.0001337808
138	-23.12599	-21.08426	-2.041731	0.9952678	0.9952678	0.9952678	-3.170664	0.0006750499
