Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
63	-18.26462	-16.39523	-1.869384	0.8612647	0.8612647	0.8612647	-0.2917159	0.5108391
64	-18.61741	-16.74803	-1.869384	0.8612647	0.8612647	0.8612647	-0.1258867	0.7483647
65	-18.58856	-16.76237	-1.826197	0.8156575	0.8156575	0.8156575	-0.1400592	0.7243372
66	-18.77538	-16.94918	-1.826197	0.8156575	0.8156575	0.8156575	-0.08788883	0.8167914
67	-18.67103	-16.78017	-1.890856	0.8809976	0.8809976	0.8809976	-0.108975	0.7780813
68	-19.46936	-16.21474	-3.254623	1.627891	1.627891	1.627891	-0.0672095	0.8566245
69	-19.12552	-16.3079	-2.817627	1.418493	1.418493	1.418493	-0.08667043	0.8190861
70	-18.80839	-16.97297	-1.835425	0.8263151	0.8263151	0.8263151	-0.07819072	0.8352362
71	-18.89731	-17.10348	-1.793829	0.7707637	0.7707637	0.7707637	-0.06731958	0.8564074
72	-18.78259	-16.77724	-2.005353	0.9702714	0.9702714	0.9702714	-0.07900479	0.833672
73	-19.03509	-16.61356	-2.421529	1.217537	1.217537	1.217537	-0.0502496	0.8907389
74	-18.69939	-16.55323	-2.146162	1.061935	1.061935	1.061935	-0.1129945	0.7709132
75	-18.61513	-16.55181	-2.063314	1.0096	1.0096	1.0096	-0.1318577	0.738146
76	-18.39757	-16.56251	-1.835062	0.8259071	0.8259071	0.8259071	-0.2104377	0.6159738
77	-18.43688	-16.19106	-2.245826	1.120771	1.120771	1.120771	-0.2547503	0.5562239
78	-18.36015	-16.57973	-1.780416	0.6343182	0.6343182	0.6343182	-0.3942616	0.4034023
79	-18.71964	-16.81007	-1.90957	0.5265148	0.5265148	0.5265148	-0.2945453	0.5075218
80	-19.13087	-16.89089	-2.239977	0.4227317	0.4227317	0.4227317	-0.5845693	0.2602739
81	-18.85134	-17.02424	-1.827097	0.5783655	0.5783655	0.5783655	-0.7346367	0.1842313
82	-19.79103	-17.96393	-1.827097	0.5783655	0.5783655	0.5783655	-1.055189	0.08806653
83	-20.46249	-18.19131	-2.271186	1.135206	1.135206	1.135206	-1.157979	0.06950586
84	-18.38687	-16.59459	-1.792281	0.7681264	0.7681264	0.7681264	-0.5810185	0.2624107
85	-19.38461	-17.17007	-2.21454	1.102689	1.102689	1.102689	-0.8773886	0.1326207
86	-19.87256	-18.01515	-1.857409	0.8495609	0.8495609	0.8495609	-1.092871	0.08074745
87	-18.46492	-16.15328	-2.311642	1.157867	1.157867	1.157867	-0.4528313	0.3525078
88	-19.42144	-16.03462	-3.386817	1.690114	1.690114	1.690114	-0.5589558	0.2760859
89	-19.1717	-15.78488	-3.386817	1.690114	1.690114	1.690114	-0.368275	0.4282773
90	-19.51956	-15.69823	-3.821331	1.893365	1.893365	1.893365	-0.2586004	0.5513147
91	-19.00093	-15.90751	-3.093418	1.551477	1.551477	1.551477	-0.2307099	0.5878819
92	-19.82211	-15.59758	-4.224537	2.082094	2.082094	2.082094	-0.3226103	0.4757619
93	-19.17963	-16.0632	-3.116422	1.562427	1.562427	1.562427	-0.1379275	0.7279013
94	-18.98273	-16.07723	-2.905505	1.46127	1.46127	1.46127	-0.1627925	0.6873968
95	-18.9966	-16.09498	-2.901623	1.459389	1.459389	1.459389	-0.1551337	0.6996266
96	-20.39702	-15.51411	-4.882916	2.394254	2.394254	2.394254	-0.2336678	0.5838915
97	-20.91947	-15.56801	-5.351455	2.621216	2.621216	2.621216	-0.4835867	0.3284076
98	-20.28645	-15.83239	-4.454051	2.190187	2.190187	2.190187	-0.5524299	0.2802658
99	-19.27051	-15.98846	-3.282051	1.640828	1.640828	1.640828	-0.5239021	0.2992939
100	-19.05865	-16.02708	-3.031574	1.521949	1.521949	1.521949	-0.513893	0.3062718
101	-19.32216	-16.22944	-3.092717	1.551143	1.551143	1.551143	-0.6191449	0.2403561
102	-18.65587	-15.97559	-2.680282	1.350599	1.350599	1.350599	-0.3707761	0.4258179
103	-18.48722	-16.70449	-1.782733	0.7498574	0.7498574	0.7498574	-0.1912415	0.6438112
104	-18.242	-16.45926	-1.782733	0.7498574	0.7498574	0.7498574	-0.4196725	0.3804762
105	-18.66675	-16.14309	-2.523662	1.271074	1.271074	1.271074	-0.502547	0.3143786
106	-18.65783	-15.97045	-2.687383	1.354146	1.354146	1.354146	-0.3231334	0.4751892
107	-20.47923	-15.57935	-4.899874	2.402389	2.402389	2.402389	-0.4489236	0.3556938
108	-19.47429	-15.84678	-3.627509	1.802824	1.802824	1.802824	-0.4815996	0.3299137
109	-20.01322	-15.65719	-4.356027	2.143941	2.143941	2.143941	-0.4420239	0.36139
110	-20.09062	-15.73459	-4.356027	2.143941	2.143941	2.143941	-0.1448068	0.716462
111	-19.3114	-15.96667	-3.34473	1.670337	1.670337	1.670337	-0.1505389	0.7070678
112	-19.45038	-15.96109	-3.489284	1.738163	1.738163	1.738163	-0.1346793	0.7333658
113	-18.71273	-16.29565	-2.417082	1.215167	1.215167	1.215167	-0.1517943	0.705027
114	-18.89173	-16.47465	-2.417082	1.215167	1.215167	1.215167	-0.08969051	0.81341
115	-18.51326	-16.22506	-2.288201	1.144789	1.144789	1.144789	-0.2161942	0.6078632
116	-18.54751	-16.15699	-2.39052	1.200944	1.200944	1.200944	-0.2296063	0.5893777
117	-18.23962	-16.28771	-1.951913	0.9311015	0.9311015	0.9311015	-0.3646993	0.431818
118	-18.30028	-16.34837	-1.951913	0.9311015	0.9311015	0.9311015	-0.4871566	0.3257193
119	-18.35554	-16.58565	-1.769893	0.7112154	0.7112154	0.7112154	-0.2759687	0.5297016
120	-18.74178	-16.97188	-1.769893	0.7112154	0.7112154	0.7112154	-0.123106	0.7531717
121	-18.45211	-16.54185	-1.910255	0.8977337	0.8977337	0.8977337	-0.1822787	0.6572359
122	-18.36328	-16.36982	-1.993459	0.961834	0.961834	0.961834	-0.2328586	0.5849805
123	-18.37181	-16.60399	-1.767826	0.679273	0.679273	0.679273	-0.2915697	0.511011
124	-18.38628	-16.40817	-1.978111	0.9507244	0.9507244	0.9507244	-0.5446515	0.2853307
125	-18.4226	-16.44449	-1.978111	0.9507244	0.9507244	0.9507244	-0.5674197	0.2707574
126	-19.05826	-16.52652	-2.531737	1.275243	1.275243	1.275243	-0.6875107	0.2053475
127	-18.33488	-16.56186	-1.773014	0.7241648	0.7241648	0.7241648	-0.281495	0.523004
128	-18.25944	-16.48643	-1.773014	0.7241648	0.7241648	0.7241648	-0.3749527	0.4217424
129	-18.7979	-16.80393	-1.993974	0.4909222	0.4909222	0.4909222	-0.5639057	0.2729571
130	-18.74987	-16.7559	-1.993974	0.4909222	0.4909222	0.4909222	-0.5031054	0.3139747
131	-19.82432	-17.86015	-1.964163	0.5023101	0.5023101	0.5023101	-1.016464	0.09627998
132	-21.85551	-19.69549	-2.160021	0.4413204	0.4413204	0.4413204	-1.500995	0.03155038
133	-19.44455	-17.44143	-2.003119	0.4876308	0.4876308	0.4876308	-0.8778132	0.1324911
134	-18.74496	-16.79935	-1.945613	0.5099816	0.5099816	0.5099816	-0.5758655	0.2655428
135	-20.63817	-18.55726	-2.080917	0.4626278	0.4626278	0.4626278	-1.2111	0.06150351
136	-18.86227	-17.07609	-1.786178	0.6240614	0.6240614	0.6240614	-0.7681955	0.1705314
137	-18.51412	-16.66403	-1.850088	0.5609371	0.5609371	0.5609371	-0.3984453	0.3995349
138	-18.26735	-16.49743	-1.769921	0.7113612	0.7113612	0.7113612	-0.4213181	0.3790373
