Iteration	Posterior	Likelihood	Prior	age_mada	age_uapaca	alpha_mol[1]	alpha_mol[2]	birth	death	diversification	kappa_mol[1]	kappa_mol[2]	ln_mean	mu_mol[1][1]	mu_mol[1][2]	mu_mol[1][3]	mu_mol[1][4]	mu_mol[1][5]	mu_mol[1][6]	mu_mol[1][7]	mu_mol[1][8]	mu_mol[1][9]	mu_mol[1][10]	mu_mol[1][11]	mu_mol[1][12]	mu_mol[1][13]	mu_mol[1][14]	mu_mol[1][15]	mu_mol[1][16]	mu_mol[1][17]	mu_mol[1][18]	mu_mol[1][19]	mu_mol[1][20]	mu_mol[1][21]	mu_mol[1][22]	mu_mol[1][23]	mu_mol[1][24]	mu_mol[1][25]	mu_mol[1][26]	mu_mol[1][27]	mu_mol[1][28]	mu_mol[1][29]	mu_mol[1][30]	mu_mol[1][31]	mu_mol[1][32]	mu_mol[1][33]	mu_mol[1][34]	mu_mol[1][35]	mu_mol[1][36]	mu_mol[1][37]	mu_mol[1][38]	mu_mol[1][39]	mu_mol[1][40]	mu_mol[2][1]	mu_mol[2][2]	mu_mol[2][3]	mu_mol[2][4]	mu_mol[2][5]	mu_mol[2][6]	mu_mol[2][7]	mu_mol[2][8]	mu_mol[2][9]	mu_mol[2][10]	mu_mol[2][11]	mu_mol[2][12]	mu_mol[2][13]	mu_mol[2][14]	mu_mol[2][15]	mu_mol[2][16]	mu_mol[2][17]	mu_mol[2][18]	mu_mol[2][19]	mu_mol[2][20]	mu_mol[2][21]	mu_mol[2][22]	mu_mol[2][23]	mu_mol[2][24]	mu_mol[2][25]	mu_mol[2][26]	mu_mol[2][27]	mu_mol[2][28]	mu_mol[2][29]	mu_mol[2][30]	mu_mol[2][31]	mu_mol[2][32]	mu_mol[2][33]	mu_mol[2][34]	mu_mol[2][35]	mu_mol[2][36]	mu_mol[2][37]	mu_mol[2][38]	mu_mol[2][39]	mu_mol[2][40]	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_locus_rel[2]	mu_mol_sd	pi_mol[1][1]	pi_mol[1][2]	pi_mol[1][3]	pi_mol[1][4]	pi_mol[2][1]	pi_mol[2][2]	pi_mol[2][3]	pi_mol[2][4]	root_age	site_rates_mol[1][1]	site_rates_mol[1][2]	site_rates_mol[1][3]	site_rates_mol[1][4]	site_rates_mol[2][1]	site_rates_mol[2][2]	site_rates_mol[2][3]	site_rates_mol[2][4]	turnover
200	-3071.601	-3336.352	264.7514	18.22247	18.22247	0.5919335	0.03715221	0.2030127	0.0494126	0.1536001	1.970044	2.088668	-7.984654	0.000327686	0.000334162	0.000368658	0.000392783	0.000355326	0.000334597	0.000346824	0.000325941	0.000366839	0.000318657	0.000353643	0.000401297	0.000394681	0.000302202	0.000356036	0.000297814	0.000353413	0.000346044	0.000335712	0.000330316	0.000295933	0.000368049	0.000291931	0.000331267	0.000337799	0.000314875	0.000311447	0.000323763	0.000376178	0.000381118	0.000406745	0.000326399	0.000307913	0.000329311	0.000329169	0.00035171	0.000345796	0.000331955	0.000349735	0.000327736	0.000820227	0.000836437	0.000922783	0.000983169	0.000889411	0.000837526	0.000868129	0.000815858	0.000918229	0.000797626	0.000885199	0.00100448	0.000987919	0.000756439	0.00089119	0.000745455	0.000884624	0.000866179	0.000840316	0.00082681	0.000740745	0.000921257	0.000730729	0.00082919	0.00084554	0.000788159	0.000779579	0.000810406	0.000941606	0.000953972	0.00101812	0.000817005	0.000770733	0.000824294	0.000823939	0.000880359	0.000865558	0.000830912	0.000875418	0.000820351	0.0003416575	0.0003276864	0.0003341621	0.0003686581	0.0003927829	0.0003553257	0.0003345973	0.0003468236	0.0003259408	0.0003668387	0.0003186572	0.0003536431	0.0004012972	0.0003946806	0.0003022025	0.0003560363	0.0002978143	0.0003534132	0.0003460444	0.0003357119	0.0003303163	0.0002959328	0.0003680486	0.0002919312	0.000331267	0.0003377989	0.0003148751	0.0003114472	0.0003237625	0.0003761782	0.0003811184	0.000406745	0.000326399	0.0003079131	0.000329311	0.0003291694	0.0003517095	0.0003457962	0.0003319549	0.0003497353	0.0003277358	2.503086	0.07683825	0.241408	0.200915	0.272677	0.285	0.301155	0.1278	0.309154	0.261891	18.22247	0.0514487	0.307759	0.877147	2.76365	3.47765e-17	8.80905e-09	0.000725761	3.99927	0.2433966
220	-3129.854	-3340.074	210.22	14.17939	14.17939	0.05645441	0.07663067	0.2796927	0.07211662	0.2075761	1.945339	1.970716	-7.785421	0.00044313	0.000325981	0.000368142	0.000299846	0.000560789	0.00058535	0.000384167	0.000511355	0.000490749	0.000856762	0.000602963	0.000330872	0.00034893	0.000460929	0.000506902	0.000397792	0.000531053	0.000686363	0.000469261	0.000329834	0.000307476	0.00041602	0.000548193	0.000346875	0.000251162	0.000406164	0.000464506	0.000396639	0.000492562	0.000525383	0.000437707	0.000181252	0.000579567	0.000487219	0.000337184	0.000412151	0.000401885	0.000647924	0.000368519	0.000482863	0.00122688	0.000902536	0.00101926	0.000830177	0.00155264	0.00162064	0.00106363	0.00141578	0.00135873	0.0023721	0.00166941	0.000916076	0.000966073	0.00127616	0.00140345	0.00110136	0.00147031	0.00190032	0.00129923	0.000913202	0.0008513	0.00115182	0.00151777	0.000960384	0.000695386	0.00112454	0.00128607	0.00109816	0.00136374	0.00145462	0.00121187	0.000501829	0.00160463	0.00134895	0.000933552	0.00114111	0.00111269	0.00179389	0.00102031	0.00133689	0.0004316772	0.0004431301	0.0003259812	0.0003681416	0.0002998463	0.0005607886	0.0005853496	0.0003841665	0.000511355	0.0004907492	0.0008567622	0.0006029631	0.0003308715	0.0003489297	0.0004609288	0.0005069016	0.0003977923	0.0005310534	0.0006863628	0.000469261	0.0003298337	0.0003074757	0.0004160198	0.0005481925	0.0003468749	0.0002511619	0.000406164	0.0004645059	0.0003966391	0.0004925621	0.0005253834	0.0004377071	0.0001812523	0.0005795671	0.0004872188	0.0003371836	0.0004121514	0.000401885	0.0006479243	0.0003685189	0.0004828633	2.768676	0.2741856	0.257138	0.196749	0.267022	0.279091	0.313048	0.109777	0.310698	0.266477	14.17939	1.20382e-11	5.17441e-06	0.0102252	3.98977	7.70915e-09	0.000130722	0.039072	3.9608	0.2578423
240	-3115.574	-3337.474	221.9001	4.571511	4.571511	0.08253821	0.2764275	0.9886734	0.4626855	0.5259879	1.714029	2.243422	-6.68353	0.00112229	0.00115783	0.0013421	0.00115762	0.00144237	0.00109592	0.00136274	0.00137732	0.00133777	0.00107738	0.0010217	0.00145952	0.00114883	0.00147312	0.00132787	0.00137412	0.00111843	0.00109231	0.00128727	0.0012914	0.00129799	0.00128115	0.00156056	0.00115771	0.00135796	0.00127862	0.0011764	0.00143704	0.00110707	0.00118329	0.00128319	0.00138392	0.00116841	0.00136738	0.00102096	0.00120718	0.00141429	0.00136933	0.00137516	0.00133193	0.00298912	0.00308376	0.00357454	0.00308321	0.0038416	0.00291887	0.00362951	0.00366834	0.00356302	0.0028695	0.0027212	0.00388729	0.0030598	0.00392352	0.00353665	0.00365983	0.00297881	0.00290927	0.0034285	0.00343951	0.00345707	0.00341222	0.00415639	0.00308343	0.00361679	0.00340548	0.00313321	0.0038274	0.00294856	0.00315156	0.00341764	0.00368594	0.00311195	0.00364188	0.00271923	0.0032152	0.00376681	0.00364707	0.0036626	0.00354746	0.00125815	0.001122295	0.001157829	0.001342097	0.001157623	0.001442366	0.00109592	0.001362738	0.001377317	0.001337772	0.001077382	0.001021702	0.001459521	0.001148834	0.001473125	0.001327873	0.001374119	0.001118425	0.001092313	0.001287266	0.001291399	0.001297993	0.001281153	0.001560558	0.001157707	0.001357961	0.001278623	0.001176395	0.001437037	0.001107066	0.001183287	0.001283187	0.001383923	0.001168413	0.001367383	0.001020962	0.00120718	0.001414288	0.00136933	0.001375161	0.00133193	2.663398	0.1040884	0.249523	0.202457	0.275605	0.272415	0.296651	0.130377	0.302541	0.270432	4.571511	2.81135e-08	0.000249508	0.0510976	3.94865	0.00357836	0.0863333	0.554008	3.35608	0.4679862
260	-3083.503	-3341.247	257.7446	10.20372	10.52894	0.04819675	0.01103364	0.6190365	0.3421083	0.2769282	1.972493	1.860459	-7.618795	0.000459771	0.000440972	0.000564438	0.00042012	0.00049836	0.000558224	0.00049395	0.000404403	0.000461678	0.000457401	0.000526703	0.000484208	0.000438297	0.00044716	0.000516886	0.000515153	0.000416996	0.000501045	0.000525855	0.000507016	0.000433441	0.000501669	0.000494191	0.000497232	0.000565618	0.000492234	0.000457575	0.000464849	0.000514888	0.000527474	0.000450068	0.000565153	0.000491928	0.000479373	0.000514011	0.000484895	0.00048303	0.000450362	0.000510117	0.000490635	0.00198482	0.00190366	0.00243666	0.00181364	0.0021514	0.00240983	0.00213237	0.00174579	0.00199305	0.00197458	0.00227376	0.00209031	0.00189211	0.00193038	0.00223138	0.0022239	0.00180016	0.00216299	0.0022701	0.00218877	0.00187115	0.00216569	0.0021334	0.00214653	0.00244175	0.00212496	0.00197534	0.00200674	0.00222275	0.00227709	0.00194293	0.00243975	0.00212364	0.00206944	0.00221897	0.00209328	0.00208522	0.0019442	0.00220216	0.00211805	0.0004926948	0.0004597711	0.0004409717	0.0005644383	0.0004201196	0.0004983596	0.0005582239	0.0004939502	0.0004044033	0.0004616782	0.0004574008	0.0005267025	0.0004842076	0.0004382967	0.0004471605	0.0005168865	0.0005151529	0.0004169956	0.000501045	0.0005258549	0.0005070156	0.0004334408	0.0005016689	0.0004941908	0.000497232	0.0005656176	0.0004922341	0.0004575749	0.000464849	0.0005148876	0.0005274738	0.0004500684	0.0005651535	0.0004919279	0.000479373	0.0005140109	0.000484895	0.0004830297	0.0004503616	0.000510117	0.0004906349	4.316966	0.07968173	0.216575	0.202156	0.301057	0.280213	0.287611	0.146996	0.297757	0.267636	10.52894	1.79467e-13	6.32226e-07	0.00427374	3.99573	1.52266e-55	5.84208e-28	7.98276e-12	4	0.5526464
280	-3090.2	-3348.082	257.8816	31.36423	31.36423	0.2883004	0.09108151	0.07583586	0.01270174	0.06313412	0.7629555	2.679488	-8.979814	0.000160258	9.98075e-05	9.79657e-05	0.000120487	0.000122697	0.000129604	0.000137685	0.000158614	0.000134084	9.89916e-05	0.000148015	9.57209e-05	0.000139915	0.000106799	0.000144875	0.000107353	0.000101846	0.00010578	0.000160724	0.000129047	0.000158211	0.000169683	0.000166713	0.000153551	0.000116834	0.000103819	0.000143315	0.000157995	0.000102753	0.000159762	0.000101202	0.000113226	0.000130771	0.000147355	0.000165632	0.000119183	0.000151561	0.000110851	0.000148773	0.000121936	0.000582682	0.000362889	0.000356193	0.000438079	0.000446114	0.000471228	0.000500609	0.000576703	0.000487515	0.000359923	0.000538166	0.000348031	0.000508717	0.000388309	0.000526751	0.000390324	0.000370303	0.000384605	0.000584376	0.000469202	0.000575237	0.000616951	0.00060615	0.000558296	0.000424797	0.000377474	0.000521077	0.000574455	0.0003736	0.000580877	0.000367958	0.000411679	0.000475471	0.000535765	0.000602219	0.000433337	0.00055106	0.000403041	0.000540922	0.000443347	0.0001280595	0.0001602584	9.980752e-05	9.796568e-05	0.0001204874	0.0001226973	0.0001296044	0.0001376852	0.0001586138	0.0001340839	9.899161e-05	0.0001480149	9.572093e-05	0.0001399153	0.0001067987	0.0001448754	0.000107353	0.0001018464	0.0001057802	0.0001607241	0.0001290474	0.0001582106	0.0001696835	0.0001667129	0.0001535514	0.0001168343	0.0001038189	0.0001433147	0.0001579955	0.0001027533	0.000159762	0.0001012015	0.0001132264	0.0001307713	0.0001473546	0.0001656316	0.0001191832	0.0001515613	0.0001108506	0.0001487729	0.0001219363	3.635892	0.1832922	0.263307	0.19333	0.252773	0.290589	0.301708	0.13173	0.311422	0.255139	31.36423	0.00439435	0.0954302	0.575621	3.32455	1.35678e-07	0.000547718	0.0708081	3.92864	0.1674899
300	-3134.99	-3343.674	208.6845	10.7131	10.7131	2.719463	0.09792932	0.1806479	0.06383393	0.116814	1.675976	1.520607	-7.875473	0.000437269	0.00026559	0.000314573	0.00045175	0.000432168	0.000765005	0.000539392	0.00040074	0.000405679	0.000393017	0.000509785	0.000277258	0.00019844	0.0006903	0.000271532	0.000252778	0.00057085	0.00035403	0.000335039	0.000453854	0.000288198	0.000362554	0.000296477	0.000225351	0.000335776	0.000240186	0.000391912	0.000418127	0.000571071	0.000383203	0.000462448	0.000248339	0.000337394	0.000251317	0.000232431	0.000441476	0.000221866	0.000359499	0.000648916	0.000412007	0.00144015	0.000874723	0.00103605	0.00148785	0.00142335	0.00251955	0.00177649	0.00131984	0.00133611	0.00129441	0.00167898	0.000913152	0.000653566	0.00227351	0.000894295	0.000832528	0.0018801	0.001166	0.00110345	0.00149478	0.000949183	0.00119408	0.000976452	0.000742196	0.00110588	0.000791058	0.00129077	0.00137711	0.00188083	0.00126209	0.00152308	0.00081791	0.00111121	0.000827717	0.000765515	0.00145401	0.000730718	0.00118402	0.00213722	0.00135695	0.0004063232	0.0004372693	0.0002655895	0.0003145734	0.0004517505	0.0004321682	0.0007650046	0.0005393917	0.0004007401	0.0004056792	0.0003930174	0.0005097845	0.0002772576	0.0001984402	0.0006903	0.0002715323	0.0002527779	0.00057085	0.0003540295	0.0003350387	0.0004538544	0.0002881975	0.0003625539	0.0002964773	0.0002253506	0.0003357758	0.0002401865	0.0003919121	0.0004181274	0.0005710705	0.0003832034	0.000462448	0.0002483395	0.0003373942	0.0002513173	0.000232431	0.0004414763	0.0002218658	0.0003594993	0.0006489164	0.0004120072	3.293514	0.3663644	0.240869	0.195742	0.300152	0.263237	0.306676	0.121857	0.29569	0.275778	10.7131	0.366323	0.714709	1.08073	1.83824	3.92875e-07	0.000931448	0.0882433	3.91082	0.3533611
320	-3171.483	-3339.223	167.7403	3.495545	3.495545	48.2609	0.06665506	0.7633471	0.2156274	0.5477197	2.195713	3.631612	-6.752486	0.00283727	0.000964872	0.00201501	0.00166099	0.0011995	0.000798007	0.00234979	0.000890061	0.00175412	0.00261229	0.000810025	0.00105818	0.00183565	0.00133246	0.000706913	0.00103772	0.000701163	0.000805665	0.00240263	0.00109916	0.000832192	0.0011171	0.0014596	0.00123005	0.000801315	0.0015969	0.00152298	0.00101459	0.000971589	0.00194753	0.000903927	0.000986127	0.00129553	0.00209409	0.00212416	0.00122757	0.000923166	0.00185934	0.00185666	0.00172839	0.00768493	0.00261341	0.00545778	0.00449889	0.00324891	0.00216145	0.00636455	0.00241078	0.00475115	0.00707555	0.002194	0.00286614	0.00497197	0.00360906	0.00191472	0.00281072	0.00189914	0.00218219	0.00650767	0.00297715	0.00225404	0.00302573	0.00395341	0.00333167	0.00217041	0.0043253	0.0041251	0.00274808	0.00263161	0.00527501	0.00244834	0.00267099	0.00350902	0.00567197	0.00575341	0.00332496	0.00250045	0.00503615	0.00502887	0.00468146	0.001264277	0.002837272	0.0009648715	0.002015009	0.001660989	0.001199497	0.000798007	0.00234979	0.0008900606	0.001754125	0.002612289	0.0008100254	0.001058176	0.001835648	0.001332463	0.0007069132	0.001037716	0.0007011626	0.0008056651	0.002402631	0.001099164	0.0008321915	0.001117098	0.001459596	0.001230053	0.0008013145	0.001596898	0.001522984	0.001014591	0.0009715888	0.00194753	0.0009039268	0.0009861273	0.001295529	0.002094091	0.002124157	0.001227573	0.0009231655	0.001859344	0.001856656	0.001728394	2.708562	0.398073	0.252072	0.204846	0.267603	0.27548	0.287576	0.146006	0.277274	0.289144	3.495545	0.82342	0.947535	1.04064	1.18841	5.15099e-10	3.38185e-05	0.0222888	3.97768	0.2824762
340	-3098.978	-3342.532	243.5543	24.55375	24.55375	13.69497	0.04012655	0.1390053	0.03984182	0.09916344	3.145995	2.810228	-8.471054	0.000228401	0.000203087	0.000229225	0.000216535	0.000193146	0.000196012	0.000188543	0.000229731	0.000222797	0.000228848	0.000213357	0.000200582	0.000232116	0.000217017	0.000213209	0.000137067	0.000239797	0.000198107	0.00024494	0.000298777	0.000241373	0.000257923	0.000304126	0.000128968	0.000182998	0.000194875	0.000163359	0.000165838	0.000196299	0.000237709	0.000191082	0.000201813	0.000178827	0.000202004	0.000206748	0.000217403	0.000239141	0.00017748	0.000231943	0.00022988	0.000869786	0.000773386	0.000872926	0.000824598	0.00073553	0.000746443	0.000718002	0.000874852	0.000848446	0.00087149	0.000812498	0.000763848	0.000883933	0.000826437	0.000811932	0.000521971	0.000913185	0.000754421	0.00093277	0.00113779	0.000919186	0.000982212	0.00115816	0.00049113	0.000696886	0.000742116	0.000622097	0.000631537	0.000747536	0.000905232	0.000727671	0.000768537	0.000681	0.000769262	0.00078733	0.000827904	0.000910688	0.00067587	0.000883277	0.00087542	0.0002126814	0.0002284007	0.0002030866	0.0002292253	0.0002165346	0.0001931458	0.0001960116	0.000188543	0.0002297311	0.000222797	0.0002288482	0.0002133574	0.0002005819	0.0002321156	0.0002170175	0.0002132085	0.0001370666	0.000239797	0.0001981066	0.0002449399	0.0002987773	0.000241373	0.0002579231	0.0003041256	0.0001289679	0.0001829981	0.0001948753	0.000163359	0.0001658379	0.0001962987	0.0002377085	0.0001910821	0.0002018133	0.0001788266	0.0002020038	0.0002067483	0.0002174028	0.0002391413	0.0001774795	0.0002319434	0.0002298801	3.808157	0.1751481	0.258505	0.176321	0.299728	0.265446	0.303453	0.138212	0.302463	0.255872	24.55375	0.68044	0.892713	1.06575	1.36109	5.5241e-16	3.51e-08	0.00128789	3.99871	0.2866209
360	-3111.134	-3338.15	227.0153	37.8607	37.8607	1.322717	0.1205547	0.1264847	0.05440865	0.072076	1.558863	3.024315	-9.091974	0.000101795	0.000172928	0.000166442	0.00013511	0.000166436	0.000120653	9.96388e-05	9.99841e-05	0.000193474	8.76416e-05	0.000101866	0.000139823	0.000230312	0.000103624	6.29436e-05	0.000274395	9.33167e-05	0.000132433	0.000124945	0.000119216	0.00017082	0.000169016	0.000143699	0.000100351	0.000192301	0.00010384	0.000109988	0.000188611	0.000127497	9.66134e-05	9.77765e-05	0.000103965	8.35713e-05	0.000224657	0.000102166	0.000141023	5.74198e-05	9.45916e-05	5.76841e-05	0.000120426	0.000260273	0.000442151	0.000425566	0.000345456	0.000425552	0.00030849	0.000254761	0.000255644	0.000494683	0.000224086	0.000260457	0.000357507	0.000588873	0.00026495	0.000160937	0.000701587	0.000238596	0.000338612	0.000319466	0.000304818	0.00043676	0.000432148	0.000367416	0.000256583	0.000491685	0.000265502	0.000281222	0.000482249	0.000325989	0.000247026	0.00025	0.000265822	0.000213679	0.000574413	0.000261223	0.000360573	0.000146814	0.000241856	0.000147489	0.000307912	0.0001189723	0.0001017945	0.0001729283	0.0001664418	0.0001351103	0.0001664365	0.0001206527	9.963877e-05	9.998405e-05	0.000193474	8.764158e-05	0.0001018663	0.0001398235	0.0002303123	0.0001036239	6.294363e-05	0.0002743953	9.331669e-05	0.0001324335	0.0001249452	0.0001192163	0.0001708199	0.0001690159	0.0001436989	0.0001003512	0.0001923012	0.0001038398	0.0001099879	0.0001886108	0.0001274965	9.661338e-05	9.777654e-05	0.0001039647	8.357134e-05	0.0002246569	0.0001021662	0.0001410226	5.741984e-05	9.459162e-05	5.768408e-05	0.0001204264	2.556846	0.3327285	0.246041	0.209767	0.262514	0.281678	0.296669	0.135122	0.295701	0.272508	37.8607	0.196592	0.556117	1.03806	2.20923	5.57861e-06	0.00350192	0.152571	3.84392	0.4301601
380	-3116.109	-3340.68	224.5708	19.21837	19.21837	1.143217	0.1337331	0.1526298	0.06302666	0.08960311	3.627921	2.928454	-8.156535	0.000330826	0.000217439	0.00033195	0.000337524	0.000368518	0.00034956	0.000374678	0.000378752	0.000192115	0.000320087	0.000239519	0.000253377	0.000161349	0.00019898	0.000306491	0.000345706	0.000221681	0.000300436	0.000237752	0.000247157	0.000427095	0.000339857	0.000330416	0.000312985	0.000268776	0.000289074	0.000246638	0.000279934	0.000259576	0.000243689	0.000311099	0.00018423	0.00032796	0.000230133	0.00043593	0.000290777	0.000336446	0.000361252	0.000272287	0.000328348	0.000788424	0.000518199	0.000791102	0.000804387	0.000878251	0.000833071	0.000892931	0.000902641	0.000457847	0.00076283	0.000570821	0.000603846	0.000384527	0.000474209	0.00073043	0.000823886	0.000528308	0.000715999	0.000566611	0.000589023	0.00101785	0.000809947	0.000787446	0.000745904	0.000640545	0.000688921	0.000587786	0.000667139	0.000618621	0.000580758	0.00074141	0.000439057	0.000781594	0.000548453	0.00103891	0.000692978	0.000801817	0.000860935	0.000648913	0.000782518	0.0002945582	0.000330826	0.0002174385	0.0003319499	0.0003375242	0.0003685181	0.0003495601	0.000374678	0.0003787523	0.0001921147	0.0003200869	0.0002395189	0.0002533766	0.0001613494	0.0001989802	0.0003064915	0.0003457062	0.0002216805	0.0003004364	0.0002377524	0.0002471566	0.0004270951	0.0003398572	0.000330416	0.0003129845	0.0002687757	0.0002890743	0.0002466377	0.0002799345	0.0002595763	0.0002436885	0.000311099	0.0001842301	0.0003279601	0.0002301335	0.00043593	0.0002907767	0.000336446	0.000361252	0.0002722867	0.0003283481	2.383197	0.2302214	0.241078	0.195448	0.268316	0.295158	0.281716	0.128312	0.313879	0.276094	19.21837	0.164612	0.515938	1.0202	2.29925	1.72891e-05	0.00615556	0.192411	3.80142	0.4129382
400	-3092.677	-3343.589	250.9116	18.71248	23.15457	0.2586425	0.08861899	0.1738246	0.05071914	0.1231054	2.152706	2.16954	-8.341714	0.000199633	0.000240733	0.000197632	0.000225509	0.000229531	0.000225021	0.000222184	0.000202404	0.000200717	0.00031387	0.000290356	0.000229184	0.000217982	0.000266158	0.000249922	0.000217138	0.000250054	0.000274494	0.000201807	0.000213159	0.000257489	0.000272647	0.000186413	0.00030993	0.000271693	0.000253873	0.000213197	0.000256301	0.000200795	0.000165016	0.00019785	0.000215955	0.000276123	0.000204054	0.0002257	0.000262349	0.000273884	0.000201082	0.000261893	0.000209946	0.000779446	0.000939916	0.000771631	0.000880477	0.000896178	0.000878572	0.000867492	0.000790265	0.00078368	0.00122547	0.00113366	0.000894824	0.000851087	0.00103919	0.000975795	0.000847792	0.000976308	0.00107173	0.000787935	0.000832256	0.00100534	0.00106452	0.00072783	0.00121009	0.0010608	0.000991219	0.000832406	0.0010007	0.000783983	0.000644289	0.000772484	0.000843174	0.00107809	0.000796708	0.00088122	0.00102431	0.00106935	0.000785103	0.00102253	0.00081971	0.0002417323	0.0001996332	0.0002407329	0.0001976316	0.0002255093	0.0002295307	0.0002250214	0.0002221836	0.0002024042	0.0002007175	0.0003138702	0.000290356	0.0002291839	0.0002179819	0.0002661585	0.0002499225	0.0002171381	0.0002500538	0.0002744941	0.0002018073	0.0002131589	0.0002574888	0.0002726468	0.0001864132	0.0003099299	0.0002716931	0.0002538728	0.0002131974	0.000256301	0.000200795	0.0001650165	0.0001978501	0.0002159552	0.0002761231	0.0002040542	0.0002256997	0.0002623493	0.0002738842	0.0002010821	0.0002618929	0.0002099457	3.904392	0.1675394	0.24999	0.195311	0.259746	0.294953	0.286092	0.145059	0.302641	0.266209	23.15457	0.00253925	0.0729985	0.51936	3.4051	8.89208e-08	0.000443505	0.0648728	3.93468	0.2917835
420	-3117.559	-3346.147	228.5887	10.98001	10.98001	3.507266	0.03853237	0.2594436	0.07728318	0.1821604	1.176251	2.651302	-7.858224	0.000390944	0.000353471	0.000603306	0.000249906	0.000270252	0.000311237	0.000502861	0.000407163	0.000359814	0.000373679	0.000350683	0.000406331	0.000416159	0.000474614	0.000395383	0.000524675	0.000375002	0.000190649	0.000401036	0.00053035	0.000264872	0.000296781	0.00031722	0.000334339	0.00038678	0.000448802	0.000454542	0.000364984	0.000288175	0.000408534	0.000389625	0.000302381	0.000379442	0.000301489	0.000293878	0.000390297	0.000360003	0.000424094	0.000385542	0.000358045	0.00139594	0.00126213	0.00215422	0.000892334	0.000964984	0.00111133	0.00179556	0.00145385	0.00128478	0.00133429	0.00125218	0.00145088	0.00148597	0.0016947	0.00141179	0.00187345	0.00133901	0.000680747	0.00143197	0.00189371	0.000945774	0.00105971	0.00113269	0.00119382	0.00138107	0.00160253	0.00162303	0.00130324	0.00102898	0.00145875	0.00139123	0.00107971	0.00135487	0.00107652	0.00104934	0.00139363	0.00128546	0.0015143	0.00137665	0.00127847	0.0003937179	0.000390944	0.0003534705	0.0006033063	0.0002499056	0.0002702517	0.0003112373	0.0005028609	0.0004071628	0.0003598139	0.0003736786	0.0003506829	0.0004063312	0.0004161594	0.0004746145	0.0003953834	0.0005246754	0.000375002	0.000190649	0.0004010356	0.00053035	0.0002648718	0.0002967809	0.0003172196	0.0003343394	0.0003867801	0.0004488024	0.0004545422	0.0003649837	0.0002881746	0.000408534	0.0003896245	0.0003023813	0.0003794422	0.0003014892	0.0002938775	0.0003902968	0.0003600035	0.0004240937	0.0003855418	0.0003580451	3.570685	0.1915614	0.24999	0.195311	0.259746	0.294953	0.301082	0.139236	0.30875	0.250932	10.98001	0.425059	0.756238	1.08409	1.73462	1.32319e-16	1.71809e-08	0.000957542	3.99904	0.2978805
440	-3160.328	-3345.806	185.4783	3.527062	3.527062	3.665387	0.06743103	0.7049787	0.2182959	0.4866828	3.631812	2.161984	-6.316882	0.00183421	0.00148631	0.00172151	0.00193053	0.00230991	0.00253119	0.0011802	0.00213633	0.00176445	0.00217845	0.00132997	0.00167064	0.00157583	0.00152709	0.0019302	0.00258402	0.00236826	0.00147647	0.00160429	0.00134786	0.00143391	0.00251621	0.00278565	0.00147036	0.00168944	0.00181065	0.00147864	0.00171862	0.00167595	0.00157752	0.00194478	0.00129281	0.00196179	0.0031822	0.00173129	0.00175583	0.00148791	0.00205029	0.0025223	0.00179821	0.00528595	0.00428335	0.00496118	0.00556355	0.00665686	0.00729457	0.0034012	0.00615665	0.00508491	0.00627801	0.0038328	0.00481458	0.00454134	0.00440087	0.00556258	0.00744681	0.00682501	0.00425501	0.00462335	0.00388436	0.00413234	0.0072514	0.0080279	0.00423738	0.00486876	0.00521806	0.00426125	0.00495284	0.00482987	0.0045462	0.0056046	0.0037257	0.00565362	0.00917071	0.00498935	0.00506008	0.00428796	0.00590867	0.00726895	0.00518221	0.001854345	0.001834206	0.001486307	0.001721511	0.001930533	0.002309907	0.002531188	0.001180205	0.002136334	0.001764446	0.002178446	0.001329969	0.001670641	0.001575827	0.001527088	0.001930195	0.002584017	0.002368255	0.001476472	0.001604286	0.001347858	0.001433908	0.002516211	0.002785653	0.001470357	0.001689443	0.00181065	0.00147864	0.001718619	0.001675946	0.001577516	0.001944776	0.001292806	0.001961787	0.003182204	0.001731286	0.001755828	0.001487908	0.002050289	0.002522299	0.001798209	2.881874	0.2309014	0.245333	0.199277	0.266944	0.288446	0.309872	0.1433	0.28857	0.258258	3.527062	0.434979	0.76278	1.08428	1.71796	6.54301e-10	3.81127e-05	0.0234229	3.97654	0.3096489
